epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,299.624,0.87955,0.81546,0.97894,0.75586,0.78342,0.84098,0.62192,0.96283,0.81914,0.9856,0.000569094,0.000569094,0.000569094
43,306.567,0.88844,0.77943,0.98087,0.83057,0.67255,0.78577,0.59169,0.96281,0.8024,0.98572,0.000565559,0.000565559,0.000565559
44,313.979,0.84837,0.73366,0.94424,0.80254,0.72889,0.82532,0.6038,0.9891,0.8107,0.98541,0.000562025,0.000562025,0.000562025
45,320.846,0.83557,0.68683,0.93902,0.82881,0.79256,0.82977,0.62293,0.95978,0.78095,0.97558,0.000558491,0.000558491,0.000558491
46,327.8,0.86439,0.74239,0.97404,0.84805,0.74537,0.83159,0.59716,1.00014,0.81848,1.00911,0.000554956,0.000554956,0.000554956
47,334.566,0.89609,0.75791,0.98935,0.78463,0.80443,0.84196,0.62364,0.97249,0.80156,0.99911,0.000551422,0.000551422,0.000551422
48,341.445,0.84367,0.67829,0.94546,0.78384,0.82315,0.85798,0.63726,0.98762,0.77364,0.98755,0.000547888,0.000547888,0.000547888
49,348.818,0.86087,0.73069,0.94529,0.89442,0.734,0.86724,0.64529,0.98661,0.77379,0.98862,0.000544354,0.000544354,0.000544354
50,355.607,0.85222,0.69792,0.93875,0.83726,0.78093,0.85006,0.62524,0.97869,0.81398,0.99309,0.000540819,0.000540819,0.000540819
51,362.333,0.83191,0.71188,0.95065,0.81247,0.80516,0.83911,0.62267,0.97518,0.81053,0.98382,0.000537285,0.000537285,0.000537285
52,369.277,0.86347,0.71286,0.96316,0.81836,0.84525,0.85465,0.64561,0.95875,0.77369,0.97589,0.000533751,0.000533751,0.000533751
53,376.166,0.85309,0.75,0.96757,0.77598,0.8249,0.84781,0.62013,0.97732,0.7665,0.98381,0.000530216,0.000530216,0.000530216
54,383.163,0.8647,0.758,0.99065,0.84754,0.72163,0.83816,0.61924,0.97578,0.78794,0.99613,0.000526682,0.000526682,0.000526682
55,390.071,0.85247,0.73568,0.96256,0.80061,0.80881,0.85474,0.63926,0.98201,0.75038,0.99792,0.000523148,0.000523148,0.000523148
56,396.977,0.82689,0.66923,0.94014,0.77326,0.79011,0.8195,0.60606,0.99595,0.81393,0.99852,0.000519613,0.000519613,0.000519613
57,403.841,0.79704,0.65943,0.93509,0.83732,0.78013,0.84859,0.62314,0.99777,0.77321,1.0044,0.000516079,0.000516079,0.000516079
58,411.222,0.81531,0.69289,0.94391,0.75083,0.7747,0.82403,0.61832,0.95561,0.78179,0.97488,0.000512545,0.000512545,0.000512545
